country,life_expectancy_both,life_expectancy_female,life_expectancy_male,urban_population_percent,urban_population_absolute,population_density_km2
Switzerland,84.2,86.1,82.3,74.4,6668094,227.0
Syria,73.0,75.4,70.6,53.6,13735765,140.0
Taiwan,80.9,83.9,78.1,,19421267,653.0
Tajikistan,72.1,74.3,69.8,27.7,2987515,77.0
Tanzania,67.4,70.2,64.6,,28244987,80.0
Thailand,76.8,81.2,72.6,53.5,38343775,140.0
Timor-Leste,68.1,69.9,66.5,,510529,95.0
Togo,63.1,63.4,62.9,44.2,4295574,179.0
Tonga,73.2,76.7,69.6,,26950,144.0
Trinidad and Tobago,73.7,77.0,70.6,49.1,741616,295.0
Tunisia,76.9,79.5,74.3,71.7,8853818,79.0
Turkey,77.8,80.8,74.9,76.9,67446349,114.0
Turkmenistan,70.3,73.2,67.1,46.5,3540511,16.0
U.S. Virgin Islands,75.9,81.6,70.9,,0,240.0
Uganda,68.7,71.6,65.7,,15430672,257.0
Ukraine,74.9,79.5,70.0,76.8,29923619,67.0
United Arab Emirates,83.2,84.4,82.4,81.1,9207088,136.0
United Kingdom,81.6,83.4,79.7,84.5,58798650,287.0
United States,79.6,82.1,77.2,82.8,287421363,38.0
Uruguay,78.5,82.2,74.6,,0,19.0
Uzbekistan,72.7,75.7,69.7,48.1,17835913,87.0
Vanuatu,71.8,74.3,69.7,25.4,85244,27.0
Venezuela,72.8,76.8,69.1,,0,32.0
Vietnam,74.9,79.5,70.2,41.4,42039428,328.0
Western Sahara,71.8,74.0,70.1,,583007,2.0
Yemen,69.6,71.7,67.5,,13801674,79.0
Zambia,66.7,69.1,64.3,46.8,10256668,29.0
Zimbabwe,63.3,65.6,60.8,37.9,6429761,44.0
